TIME (days),BRIGHTNESS (mag)
48.96600000000035,-2.4990139200229233,0.0
48.96600000000035,17.563,0.0
74.90400000000227,5.50062708098376,0.0
74.90400000000227,16.273,0.0
122.90299999999843,18.142,0.0
48.96600000000035,17.563,0.0
62.97299999999814,15.724,0.0
102.9890000000014,-0.13232913708060057,0.0
102.9890000000014,17.24,0.0
103.9519999999975,17.282,0.0
104.97299999999814,17.338,0.0
106.03500000000349,17.36,0.0
106.98300000000017,8.40719954880085,0.0
106.98300000000017,17.422,0.0
106.98300000000017,-2.1688658128264473,0.0
106.98300000000017,17.422,0.0
120.95100000000093,17.781,0.0
140.8969999999972,1.8929870960949122,0.0
140.8969999999972,18.204,0.0
142.91999999999825,18.373,0.0
145.84599999999773,18.556,0.0
148.84100000000035,1.5865832636756014,0.0
148.84100000000035,0.40738600344224674,0.0
148.84100000000035,18.597,0.0
149.8530000000028,18.493,0.0
157.84500000000116,18.821,0.0
158.84100000000035,18.746,0.0
159.84599999999773,-2.1502479341047698,0.0
159.84599999999773,5.418390242273748,0.0
159.84599999999773,18.647,0.0
161.84599999999773,19.101,0.0
162.86499999999796,18.745,0.0
163.90499999999884,0.7149001478267207,0.0
163.90499999999884,18.773,0.0
164.87200000000303,18.794,0.0
165.84100000000035,0.5550981217201829,0.0
165.84100000000035,18.869,0.0
173.85199999999895,9.805164706187693,0.0
173.85199999999895,18.868,0.0
185.84199999999691,19.113,0.0
187.83699999999953,19.192,0.0
188.84199999999691,19.261,0.0
189.84599999999773,-0.5116333048159691,0.0
189.84599999999773,19.212,0.0
190.83699999999953,19.14,0.0
191.84000000000378,19.236,0.0
193.83499999999913,19.32,0.0
210.8249999999971,6.145077542811908,0.0
210.8249999999971,19.173,0.0
337.22699999999895,-1.2136575466914736,0.0
337.22699999999895,20.117,0.0
340.2150000000038,19.978,0.0
341.224000000002,9.314365423905285,0.0
341.224000000002,19.738,0.0
341.234000000004,19.851,0.0
349.1489999999976,19.728,0.0
364.1270000000004,5.3650284812522955,0.0
364.1270000000004,-1.8236815751867794,0.0
364.1270000000004,19.797,0.0
393.0529999999999,20.213,0.0
395.07300000000396,20.054,0.0
395.1860000000015,19.817,0.0
403.98099999999977,-2.366050787921284,0.0
403.98099999999977,19.935,0.0
404.20300000000134,19.874,0.0
415.97099999999773,19.838,0.0
421.0,20.151,0.0
423.01400000000285,19.884,0.0
432.0769999999975,19.9,0.0
432.9369999999981,20.192,0.0
441.07800000000134,19.885,0.0
441.96600000000035,19.838,0.0
442.9369999999981,19.633,0.0
459.877999999997,20.055,0.0
461.9910000000018,20.121,0.0
486.9270000000033,19.851,0.0
488.9029999999984,19.904,0.0
490.94200000000274,20.189,0.0
504.89300000000367,19.817,0.0
512.8499999999985,20.109,0.0
518.8830000000016,19.593,0.0
524.8510000000024,19.826,0.0
528.8470000000016,19.881,0.0
