TIME (days),BRIGHTNESS (flux)
2458695.74496147,1.0058600063323975,0.012
2458695.74635037,1.0047272200584412,0.012
2458695.74912817,1.004542028427124,0.012
2458695.75051707,1.006970679283142,0.012
2458695.75190596,1.006346797466278,0.012
2458695.75329486,1.006539499282837,0.012
2458695.75468376,1.004727816104889,0.012
2458695.76023936,1.0057564730644226,0.012
2458695.76162826,1.0057723875045776,0.012
2458695.76301716,1.0054139251708984,0.012
2458695.76579496,1.0053212995529175,0.012
2458695.76857276,1.0054555888175964,0.012
2458695.77135056,1.0052039976119995,0.012
2458695.77412836,1.006552493095398,0.012
2458695.77551726,1.0058427805900574,0.012
2458695.77690616,1.0065877194404602,0.012
2458695.77829506,1.0061067099571228,0.012
2458695.77968396,1.0069942827224732,0.012
2458695.78107286,1.0059659833908081,0.012
2458695.78246176,1.0056239123344421,0.012
2458695.78385065,1.00611141872406,0.012
2458695.78523955,1.006437575340271,0.012
2458695.78801735,1.0052593703269959,0.012
2458695.78940625,1.0055910105705261,0.012
2458695.79218405,1.0059451217651367,0.012
2458695.79357295,1.0059305186271668,0.012
2458695.79496185,1.006583010673523,0.012
2458695.79635075,1.004835283279419,0.012
2458695.79773965,1.0052457208633423,0.012
2458695.79912855,1.006144320487976,0.012
2458695.80051745,1.0059659237861633,0.012
2458695.80329525,1.0049540157318115,0.012
2458695.80607305,1.005364691734314,0.012
2458695.80746195,1.0062829012870789,0.012
2458695.81162865,1.0051573867797852,0.012
2458695.81301755,1.0055747981071472,0.012
2458695.81440645,1.0066960806846619,0.012
2458695.81579535,1.0066269989013672,0.012
2458695.81996204,1.0065201873779297,0.012
2458695.82135094,1.0056925768852234,0.012
2458695.82273984,1.0059484000205994,0.012
2458695.82551764,1.0058647747039795,0.012
2458695.82690654,1.0069194192886353,0.012
2458695.82968434,1.006617223739624,0.012
2458695.83246214,1.0053636784553528,0.012
2458695.83385104,1.004868185043335,0.012
2458695.83523994,1.004799997329712,0.012
2458695.83801774,1.0045280809402466,0.012
2458695.83940664,1.0059311742782593,0.012
2458695.84079554,1.005583083152771,0.012
2458695.84218444,1.005422508239746,0.012
2458695.84496224,1.0066331977844238,0.012
2458695.84635114,1.0064459795951843,0.012
2458695.84774004,1.006210422039032,0.012
2458695.84912894,1.0052429790496826,0.012
2458695.85051784,1.0062551255226135,0.012
2458695.85190674,1.0061763877868652,0.012
2458695.85468454,1.0064652915000916,0.012
2458695.85607344,1.0058024282455444,0.012
2458695.86162903,1.0055727715492249,0.012
2458695.86440683,1.0087743158340454,0.012
2458695.86579573,1.0087923760414124,0.012
2458695.86857353,1.0081372017860413,0.012
2458695.86996243,1.0110738034248352,0.012
2458695.87135133,1.0118779296875,0.012
2458695.87274023,1.0115650053024292,0.012
2458695.87412913,1.0129770393371582,0.012
2458695.87551803,1.0114763731956482,0.012
2458695.87690693,1.0124189014434815,0.012
2458695.87968473,1.0110041255950928,0.012
2458695.88246253,1.0112918968200684,0.012
2458695.88524033,1.012197410583496,0.012
2458695.88662923,1.0115710253715515,0.012
2458695.88801813,1.0125933046340942,0.012
2458695.89635153,1.0110646839141846,0.012
2458695.89912933,1.0119005198478699,0.012
2458695.90051823,1.0119445080757141,0.012
2458695.90329603,1.0111998076438904,0.012
2458695.90607383,1.012040054321289,0.012
2458695.90746273,1.0123485679626465,0.012
2458695.91024053,1.0117122883796692,0.012
2458695.91162943,1.0120731945037842,0.012
2458695.91301832,1.0124580020904541,0.012
2458695.91579612,1.011700903892517,0.012
2458695.91718502,1.0126662607192993,0.012
2458695.91857392,1.0115455145835877,0.012
2458695.92274062,1.0125557537078858,0.012
2458695.92412952,1.0118751878738403,0.012
2458695.92551842,1.0119713897705078,0.012
2458695.92690732,1.0113003010749817,0.012
2458695.92829622,1.0126223917007446,0.012
2458695.92968512,1.011533474445343,0.012
2458695.93385182,1.011191701412201,0.012
2458695.93524072,1.0123297328948975,0.012
2458695.93662962,1.012877857208252,0.012
2458695.93940742,1.0113305206298828,0.012
2458695.94218522,1.0114152188301087,0.012
2458695.94357412,1.0117544288635254,0.012
2458695.94496302,1.0125221366882324,0.012
2458695.94912972,1.0115458126068115,0.012
2458695.95190752,1.0116649026870728,0.012
2458695.95329642,1.0115763897895813,0.012
2458695.95468532,1.0117115135192871,0.012
2458695.95885202,1.0113783235549927,0.012
2458695.96024092,1.0124000663757324,0.012
2458695.96718542,1.012043511390686,0.012
2458695.97412992,1.0114487166404724,0.012
2458695.97551882,1.0124621744155884,0.012
2458695.98246332,1.0129746551513672,0.012
2458695.98524112,1.0125916357040405,0.012
2458695.98663002,1.012022530555725,0.012
2458695.98801892,1.0111108775138855,0.012
2458695.99079672,1.0122164840698242,0.012
2458695.99218562,1.0116464252471924,0.012
2458695.99357451,1.0117500777244568,0.012
2458695.99496341,1.0113600845336914,0.012
2458695.99635231,1.0120998973846436,0.012
2458695.99913011,1.0122204179763794,0.012
2458696.00329681,1.0122418756484985,0.012
2458696.00468571,1.0123916025161743,0.012
2458696.00607461,1.0111375803947449,0.012
2458696.01024131,1.0126122589111328,0.012
2458696.01440801,1.011334216117859,0.012
2458696.01579691,1.0118211860656738,0.012
2458696.01718581,1.0125159378051758,0.012
2458696.01857471,1.0114173049926758,0.012
2458696.01996361,1.012948190689087,0.012
2458696.02135251,1.012127673149109,0.012
2458696.02274141,1.0129958744049072,0.012
2458696.02413031,1.0118903274536133,0.012
2458696.02551921,1.012269889831543,0.012
2458696.02690811,1.0110308284759522,0.012
2458696.02968591,1.0119967813491821,0.012
2458696.03107481,1.0125606412887573,0.012
2458696.03246371,1.0129040832519531,0.012
2458696.03385261,1.0127705688476563,0.012
2458696.03663041,1.0123029108047485,0.012
2458696.03801931,1.0111381168365479,0.012
2458696.03940821,1.012723958015442,0.012
2458696.04496381,1.012758171081543,0.012
2458696.05190831,1.0116141195297241,0.012
2458696.05468611,1.0111968870162964,0.012
2458696.05607501,1.0119505877494812,0.012
2458696.05885281,1.0113305802345276,0.012
2458696.06163061,1.0121391172409058,0.012
2458696.06301951,1.012203013420105,0.012
2458696.06857511,1.0118257756233215,0.012
2458696.06996401,1.0121635551452637,0.012
2458696.07274181,1.0119352097511292,0.012
2458696.07413071,1.0129541511535645,0.012
2458696.07551961,1.0117782707214356,0.012
2458696.07690851,1.012193476676941,0.012
2458696.08246411,1.0115443224906921,0.012
2458696.08801971,1.0126381273269653,0.012
2458696.08940861,1.0110981817245484,0.012
2458696.09079751,1.011710500240326,0.012
2458696.09218641,1.0114816184043884,0.012
2458696.1019087,1.0113873238563538,0.012
2458696.1074643,1.0119312162399292,0.012
2458696.1130199,1.0123479719161987,0.012
2458696.1171866,1.0120767707824707,0.012
2458696.1185755,1.0124652738571167,0.012
2458696.1199644,1.011491810798645,0.012
2458696.1213533,1.0117401237487793,0.012
2458696.1227422,1.0116570944786072,0.012
2458696.12552,1.0129549856185913,0.012
